Timestamp,Buffer._avg (B),Cache._avg (B),Share._avg (B),Swap._avg (B),Total._avg (B),Use._avg (B)
1633701600,2246656,3017555041.28,0,0,23522713600,18897658055.68
1633705200,2246656,3021569448.96,0,0,23522713600,18925326172.16
1633708800,2246656,3064566906.88,0,0,23522713600,18955416099.84
1633712400,2246656,3105141089.28,0,0,23522713600,18990315509.76
1633939200,2192727.04,3147435330.56,0,0,23106811765.76,13444128486.4
1633942800,2252800,3300596060.16,0,0,23522713600,15500469186.56
1633946400,2252800,3386402821.12,0,0,23522713600,15946839859.2
1633950000,2252800,3481545861.12,0,0,23522713600,16224467215.36
1633953600,2252800,3534383733.76,0,0,23522713600,16429018270.72
1633957200,2252800,3622181852.16,0,0,23522713600,16739928570.88
1633960800,2252800,3668895928.32,0,0,23522713600,16816361405.44
1633964400,2252800,3692558023.68,0,0,23522713600,16860048056.32
1633968000,2252800,3743039779.84,0,0,23522713600,16898926387.2
1633971600,2252800,3768445696,0,0,23522713600,16946200791.04
1634022000,2252800,3015635901.44,0,0,23522713600,8439668510.72
1634025600,2252800,3314227169.28,0,0,23522713600,15006859233.28
1634029200,2252800,3694141352.96,0,0,23522713600,15826760038.4
1634032800,2209576.96,3901366256.64,0,0,23522713600,16302163573.76
1634036400,2945024,3053804661.76,0,0,23522713600,18978607365.12
1634040000,2945024,3163079690.24,0,0,23522713600,18892015467.52
1634043600,2781440,3008497336.32,0,0,23522713600,19146085355.52
1634047200,2217984,2692523192.32,0,0,23522713600,19486831319.04
1634050800,2217984,2749086965.76,0,0,23522713600,19434535505.92
1634054400,2217984,2586602250.24,0,0,23522713600,19542809036.8
1634104800,2252800,3008128588.8,0,0,23522713600,11806772229.12
1634108400,2252800,3184706821.12,0,0,23522713600,15112258836.48
1634112000,2252800,3272118517.76,0,0,23522713600,15743472757.76
1634115600,2252800,3306689315.84,0,0,23522713600,16195102520.32
1634119200,2252800,3353499832.32,0,0,23522713600,16377913579.52
1634122800,2252800,3402561213.44,0,0,23522713600,16550521605.12
1634126400,2252800,3431456757.76,0,0,23522713600,16645703306.24
1634130000,2252800,3459856189.44,0,0,23522713600,16685210782.72
1634133600,2252800,3498168949.76,0,0,23522713600,16727531735.04
1634137200,2252800,3526180551.68,0,0,23522713600,16796507033.6
1634140800,2252800,3572627952.64,0,0,23522713600,16870006538.24
1634198400,2252800,3088911001.6,0,0,23522709504,12516783406.08
1634202000,2252800,3100405719.04,0,0,23522709504,15004488130.56
1634205600,2252800,3171989678.08,0,0,23522709504,15620636472.32
1634209200,2252800,3197014159.36,0,0,23522709504,15929670522.88
1634212800,2252800,3231457546.24,0,0,23522709504,16072248437.76
1634216400,2252800,3344971555.84,0,0,23522709504,16391120962.56
1634220000,2252800,3382248140.8,0,0,23522709504,16476024366.08
1634223600,2252800,3404639441.92,0,0,23522709504,16532863175.68
1634227200,2252800,3448669496.32,0,0,23522709504,16613124597.76
1634540400,2212572.16,3046199275.52,0,0,23244207907.84,13821213332.48
1634544000,2252800,3183475118.08,0,0,23522713600,15373337507.84
1634547600,2252800,3232773852.16,0,0,23522713600,15664455229.44
1634551200,2252800,3475398656,0,0,23522713600,16497328102.4
1634554800,2252800,3832266050.56,0,0,23522713600,17187482547.2
1634558400,2252800,3877291417.6,0,0,23522713600,17207191828.48
1634562000,2252800,3982520048.64,0,0,23522713600,17530716180.48
1634565600,2252800,4089625113.6,0,0,23522713600,17663569658.88
1634569200,2252800,4122970378.24,0,0,23522713600,17760759290.88
1634572800,2252800,4162624307.2,0,0,23522713600,17753720263.68
1634576400,2252800,4196928501.76,0,0,23522713600,17841890913.28
1634626800,2252800,3084930493.44,0,0,23522713600,13370653783.04
1634630400,2252800,3178753914.88,0,0,23522713600,15214570301.44
1634634000,2252800,3343300090.88,0,0,23522713600,15614802467.84
1634637600,2253603.84,3798780994.56,0,0,23522713600,15979074539.52
