Timestamp,Available,,User._avg (%),Idle._avg (%)
1633359300,84.37,,7.005,91.375
1633359600,84.43,,6.975,91.405
1633359900,86.05,,6.215,92.265
1633360200,83.695,,7.295,90.99
1633360500,86.24,,6.145,92.385
1633360800,83.64,,7.375,91.015
1633361100,82.5,,7.59,90.09
1633361400,82.5,,7.93,90.43
1633361700,86.17,,6.185,92.355
1633362000,85.665,,6.415,92.08
1633362300,86.22,,6.145,92.365
1633362600,84.525,,6.955,91.48
1633362900,84.62,,6.885,91.505
1633363200,84.77,,6.815,91.585
1633363500,85.64,,6.405,92.045
1633363800,83.74,,7.375,91.115
1633364100,85.76,,6.355,92.115
1633364400,84.715,,6.87,91.585
1633364700,84.145,,7.12,91.265
1633365000,83.615,,7.385,91
1633365300,85.555,,6.445,92
1633365600,85.06,,6.7,91.76
1633365900,85.78,,6.345,92.125
1633366200,84.085,,7.16,91.245
1633366500,84.245,,7.085,91.33
1633366800,84.805,,6.81,91.615
1633367100,85.995,,6.24,92.235
1633367400,83.75,,7.305,91.055
1633367700,86.36,,6.045,92.405
1633368000,83.355,,7.495,90.85
1633368300,84.615,,6.91,91.525
1633368600,83.135,,7.605,90.74
1633368900,86.37,,6.075,92.445
1633369200,84.765,,6.82,91.585
1633369500,86.615,,5.965,92.58
1633369800,83.68,,7.33,91.01
1633370100,84.23,,7.08,91.31
1633370400,84.85,,6.785,91.635
1633370700,85.175,,6.605,91.78
1633371000,82.825,,7.79,90.615
1633371300,86.05,,6.215,92.265
1633371600,83.73,,7.325,91.055
1633371900,84.44,,7.005,91.445
1633372200,84.125,,7.15,91.275
1633372500,86.12,,6.185,92.305
1633372800,84.885,,6.8,91.685
1633373100,86.25,,6.125,92.375
1633373400,83.685,,7.355,91.04
1633373700,84.16,,7.11,91.27
1633374000,84.9,,6.77,91.67
1633374300,85.915,,6.275,92.19
1633374600,83.965,,7.21,91.175
1633374900,86.435,,6.03,92.465
1633375200,83.375,,7.475,90.85
1633375500,84.86,,6.795,91.655
1633375800,83.465,,7.44,90.905
1633376100,86.395,,6.065,92.46
1633376400,84.685,,6.865,91.55
1633376700,86.22,,6.135,92.355
1633377000,84.255,,7.07,91.325
1633377300,84.735,,6.85,91.585
1633377600,84.855,,6.775,91.63
1633377900,85.49,,6.455,91.945
1633378200,84.435,,7.025,91.46
1633378500,85.365,,6.5,91.865
1633378800,84.155,,7.125,91.28
1633379100,83.275,,7.51,90.785
1633379400,84.09,,7.16,91.25
1633379700,84.88,,6.755,91.635
1633380000,85.29,,6.585,91.875
1633380300,84.485,,6.935,91.42
1633380600,83.595,,7.385,90.98
1633380900,82.785,,7.735,90.52
1633381200,84.655,,6.865,91.52
1633381500,84.31,,6.995,91.305
1633381800,84.145,,7.12,91.265
1633382100,84.845,,6.74,91.585
1633382400,84.145,,7.115,91.26
1633382700,83.81,,7.275,91.085
1633383000,83.455,,7.48,90.935
1633383300,85.43,,6.505,91.935
1633383600,85.45,,6.5,91.95
1633383900,85.18,,6.625,91.805
1633384200,83.99,,7.22,91.21
1633384500,83.12,,7.605,90.725
1633384800,84.675,,6.865,91.54
1633385100,84.95,,6.715,91.665
1633385400,83.795,,7.345,91.14
1633385700,85.21,,6.57,91.78
1633386000,84.27,,7.055,91.325
1633386300,84.29,,7.045,91.335
1633386600,84.165,,7.1,91.265
1633386900,85.16,,6.595,91.755
1633387200,85.505,,6.485,91.99
1633387500,85.125,,6.63,91.755
1633387800,83.905,,7.26,91.165
1633388100,83.14,,7.555,90.695
1633388400,84.755,,6.82,91.575
1633388700,85.52,,6.445,91.965
1633389000,84.705,,6.865,91.57
1633389300,86.26,,6.095,92.355
1633389600,83.535,,7.41,90.945
1633389900,84.785,,6.825,91.61
1633390200,83.57,,7.41,90.98
1633390500,86.14,,6.175,92.315
