Timestamp,,,,,Total._avg (B),Use._avg (B),Available_avg
1632297600,,,,,23522713600,18052515671,5470197929
1632301200,,,,,23522713600,18242659333,5280054267
1632304800,,,,,23522713600,17932811095,5589902505
1632308400,,,,,23522713600,18179701658,5343011942
1632312000,,,,,23522713600,18326321618,5196391982
1632315600,,,,,23522713600,18289335363,5233378237
1632319200,,,,,23522713600,18390398838,5132314762
1632322800,,,,,23522713600,18417573053,5105140547
1632326400,,,,,23522713600,18391902356,5130811244
1632330000,,,,,23522713600,18353326341,5169387259
1632384000,,,,,23522713600,14067402941,9455310659
1632387600,,,,,23522713600,15520733240,8001980360
1632391200,,,,,23522713600,15683251036,7839462564
1632394800,,,,,23522713600,15930855869,7591857731
1632398400,,,,,23522713600,16087867766,7434845834
1632402000,,,,,23522713600,16344180910,7178532690
1632405600,,,,,23522713600,16403040174,7119673426
1632409200,,,,,23522713600,16486031724,7036681876
1632412800,,,,,23522713600,16628927539,6893786061
1632416400,,,,,23522713600,16602679583,6920034017
1632420000,,,,,23522713600,16667152164,6855561436
1632423600,,,,,23522713600,16731845033,6790868567
1632427200,,,,,23522713600,16640976502,6881737098
1632430800,,,,,23522713600,16685407252,6837306348
1632434400,,,,,23522713600,16719764572,6802949028
1632438000,,,,,23522713600,16750309827,6772403773
1632441600,,,,,23522713600,16787373957,6735339643
1632445200,,,,,23522713600,16832612014,6690101586
1632448800,,,,,23522713600,16884300902,6638412698
1632452400,,,,,23522713600,16959051187,6563662413
1632456000,,,,,23522713600,16973705431,6549008169
1632459600,,,,,23522713600,16973727811,6548985789
1632463200,,,,,23522713600,17010800522,6511913078
1632466800,,,,,23522713600,17051623009,6471090591
1632470400,,,,,23522713600,17096612582,6426101018
1632474000,,,,,23522713600,16997328210,6525385390
1632477600,,,,,23522713600,17090732590,6431981010
1632481200,,,,,23522713600,17220597018,6302116582
1632484800,,,,,23522713600,17460616709,6062096891
1632488400,,,,,23522713600,17543984102,5978729498
1632492000,,,,,23522713600,17520602685,6002110915
1632495600,,,,,23522713600,17378447703,6144265897
1632499200,,,,,23522713600,18687100344,4835613256
1632502800,,,,,23522713600,18853227090,4669486510
1632726000,,,,,23522713600,13862569964,9660143636
1632729600,,,,,23522713600,16810435369,6712278231
1632733200,,,,,23522713600,18320296919,5202416681
1632736800,,,,,23522713600,18547709189,4975004411
1632740400,,,,,23522713600,18686261217,4836452383
1632744000,,,,,22742897664,18283023749,4459873915
1632747600,,,,,23522713600,18875976878,4646736722
1632751200,,,,,23522713600,18888260526,4634453074
1632754800,,,,,23522713600,19007134198,4515579402
1632758400,,,,,23522713600,19341542410,4181171190
1632812400,,,,,23522709504,13884991380,9637718124
1632819600,,,,,23522713600,13382066642,10140646958
1632823200,,,,,23522713600,15445836872,8076876728
1632826800,,,,,23522713600,15945338245,7577375355
1632830400,,,,,23522713600,17485763845,6036949755
